City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
260,dolores,-36.3132,-57.6792,56.46,85,100,13.47,AR,1722884182
261,rio san juan,19.6439,-70.0763,85.8,72,16,14.38,DO,1722884326
262,khorixas,-20.3667,14.9667,68.34,18,0,5.88,NA,1722884327
263,anadyr,64.75,177.4833,36.1,93,75,13.42,RU,1722884328
264,mogadishu,2.0371,45.3438,76.23,80,2,22.5,SO,1722884329
265,harper,4.375,-7.7169,75.78,84,100,10.11,LR,1722884330
266,new washington,11.6508,122.4322,75.13,100,100,3.36,PH,1722884331
267,holualoa,19.6228,-155.9522,78.87,79,40,5.75,US,1722884332
268,mejit,10.2753,170.8646,83.01,79,100,15.01,MH,1722884333
269,chegdomyn,51.1167,133.0167,64.45,99,100,3.0,RU,1722884334
270,yoloten,37.2989,62.3597,85.93,19,0,11.9,TM,1722884335
271,guangming,45.3333,122.7833,69.55,74,0,7.27,CN,1722884336
272,coquimbo,-29.9533,-71.3436,60.53,63,0,10.36,CL,1722884213
273,luis correia,-2.8792,-41.6669,86.0,66,20,12.66,BR,1722884338
274,skidel',53.5904,24.2478,61.86,87,99,4.32,BY,1722884339
275,qala i naw,34.9874,63.1289,84.31,19,0,3.22,AF,1722884341
276,burang,30.25,81.1667,51.94,73,100,6.26,CN,1722884342
277,lazaro cardenas,17.9583,-102.2,86.16,65,100,7.18,MX,1722884343
278,palikir - national government center,6.9248,158.1611,75.94,94,40,3.44,FM,1722884344
279,sorong,-0.8833,131.25,76.26,93,71,6.93,ID,1722884345
280,dzuunmod,48.2199,97.3744,54.14,45,49,6.02,MN,1722884346
281,luanda,-8.8368,13.2343,68.0,94,20,10.36,AO,1722884258
282,shalqar,47.8333,59.6,87.22,26,17,8.55,KZ,1722884348
283,sinabang,2.4803,96.3801,77.97,86,99,3.44,ID,1722884349
284,khalabat,34.06,72.8894,85.32,72,52,1.74,PK,1722884350
285,freetown,8.484,-13.2299,77.45,86,98,10.54,SL,1722884352
286,villa general belgrano,-31.9754,-64.5559,70.0,27,5,11.59,AR,1722884287
287,olinda,-8.0089,-34.8553,82.13,61,40,13.8,BR,1722884354
288,mingora,34.7758,72.3625,79.32,83,69,2.26,PK,1722884355
289,tsuyama,35.05,134.0,78.84,93,15,1.23,JP,1722884356
290,portland,45.5234,-122.6762,81.64,51,0,1.99,US,1722884100
291,santa cruz de barahona,18.2085,-71.1008,91.22,58,20,18.41,DO,1722884358
292,sandnessjoen,66.0217,12.6316,73.92,68,0,8.05,NO,1722884359
293,benguela,-12.5763,13.4055,69.33,87,100,2.57,AO,1722884360
294,hermansverk,61.1846,6.8502,70.25,68,75,0.0,NO,1722884361
295,nuuk,64.1835,-51.7216,44.55,81,100,4.59,GL,1722884362
296,luderitz,-26.6481,15.1594,55.98,66,0,16.44,NA,1722884363
297,uturoa,-16.7333,-151.4333,78.48,73,100,12.3,PF,1722884364
298,falam,22.9167,93.6833,68.52,99,100,1.43,MM,1722884365
299,boa vista,2.8197,-60.6733,89.58,51,40,3.44,BR,1722884236
300,castillos,-34.1667,-53.8333,57.65,92,100,11.23,UY,1722884368
301,bikenibeu village,1.3673,173.1241,83.97,62,99,12.75,KI,1722884369
